title,critic rating(%),audience rating(%),genres,available_date,img_path,genre1,genre2,genre3,genre4,genre5,genre6
THE NEST,88.0,48.0,"Mystery And Thriller, Drama",2020-09-18,data/img/poster-75.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
LIE EXPOSED,0.0,0.0,Drama,2020-09-25,data/img/poster-76.jpg,Drama,NaN,NaN,NaN,NaN,NaN
THE DONUT KING,97.0,90.0,Documentary,2020-10-30,data/img/poster-77.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
DATING AMBER,96.0,85.0,"Comedy, Drama",2020-11-10,data/img/poster-78.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
REPRESENT,100.0,0.0,Documentary,2020-08-14,data/img/poster-79.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
MORTAL,53.0,0.0,"Fantasy, Mystery And Thriller",2020-11-06,data/img/poster-80.jpg,Fantasy, Mystery And Thriller,NaN,NaN,NaN,NaN
KINDRED,69.0,33.0,Mystery And Thriller,2020-11-06,data/img/poster-81.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
THE DARK AND THE WICKED,90.0,63.0,"Mystery And Thriller, Horror",2020-11-06,data/img/poster-83.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
TRIGGERED,48.0,0.0,"Mystery And Thriller, Action, Horror",2020-11-06,data/img/poster-84.jpg,Mystery And Thriller, Action, Horror,NaN,NaN,NaN
CHICK FIGHT,36.0,32.0,"Comedy, Action, Sports And Fitness",2020-11-13,data/img/poster-85.jpg,Comedy, Action, Sports And Fitness,NaN,NaN,NaN
THE DARK DIVIDE,92.0,80.0,"Adventure, Drama",2020-09-18,data/img/poster-86.jpg,Adventure, Drama,NaN,NaN,NaN,NaN
ECHO BOOMERS,37.0,96.0,"Mystery And Thriller, Crime, Drama",2020-11-13,data/img/poster-87.jpg,Mystery And Thriller, Crime, Drama,NaN,NaN,NaN
TEAM MARCO,63.0,0.0,"Comedy, Drama",2020-11-20,data/img/poster-88.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
JIU JITSU,28.0,72.0,"Fantasy, Action, Sci Fi",2020-11-20,data/img/poster-89.jpg,Fantasy, Action, Sci Fi,NaN,NaN,NaN
WHERE SHE LIES,100.0,0.0,Documentary,2020-11-10,data/img/poster-90.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE ORANGE YEARS: THE NICKELODEON STORY,86.0,91.0,Documentary,2020-11-17,data/img/poster-91.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
MY SUMMER AS A GOTH,20.0,0.0,Drama,2020-11-11,data/img/poster-92.jpg,Drama,NaN,NaN,NaN,NaN,NaN
SLEEPLESS BEAUTY,40.0,0.0,Horror,2020-11-10,data/img/poster-93.jpg,Horror,NaN,NaN,NaN,NaN,NaN
THEY REACH,43.0,86.0,"Mystery And Thriller, Horror",2020-11-03,data/img/poster-95.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
TRUTH IS THE ONLY CLIENT: THE OFFICIAL INVESTIGATION OF THE MURDER OF JOHN F. KENNEDY,100.0,0.0,Documentary,2020-11-17,data/img/poster-96.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE SOUNDING,71.0,0.0,"Mystery And Thriller, Drama",2020-10-10,data/img/poster-97.jpg,Mystery And Thriller, Drama,NaN,NaN,NaN,NaN
THE DEVIL HAS A NAME,33.0,64.0,"Comedy, Drama",2020-10-16,data/img/poster-98.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
WOLFMAN'S GOT NARDS,100.0,60.0,"Horror, Documentary",2020-10-27,data/img/poster-99.jpg,Horror, Documentary,NaN,NaN,NaN,NaN
"J.R. ""BOB"" DOBBS & THE CHURCH OF THE SUBGENIUS",100.0,35.0,"Comedy, Documentary",2020-10-16,data/img/poster-100.jpg,Comedy, Documentary,NaN,NaN,NaN,NaN
THE WALL OF MEXICO,70.0,0.0,"Comedy, Drama",2020-09-18,data/img/poster-101.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
NOMAD: IN THE FOOTSTEPS OF BRUCE CHATWIN,92.0,50.0,Documentary,2020-04-08,data/img/poster-103.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
TERRA WILLY,100.0,85.0,"Adventure, Sci Fi, Kids And Family, Comedy, Animation",2020-10-23,data/img/poster-104.jpg,Adventure, Sci Fi, Kids And Family, Comedy, Animation,NaN
THE TRUE ADVENTURES OF WOLFBOY,78.0,60.0,Drama,2020-10-30,data/img/poster-105.jpg,Drama,NaN,NaN,NaN,NaN,NaN
BULLETS OF JUSTICE,57.0,0.0,"Action, Comedy, Horror",2020-10-15,data/img/poster-106.jpg,Action, Comedy, Horror,NaN,NaN,NaN
THE ANTENNA,55.0,0.0,"Mystery And Thriller, Horror",2020-10-02,data/img/poster-107.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
LOVE AND MONSTERS,92.0,89.0,"Comedy, Fantasy, Adventure",2020-10-16,data/img/poster-108.jpg,Comedy, Fantasy, Adventure,NaN,NaN,NaN
SHITHOUSE,96.0,0.0,Comedy,2020-10-16,data/img/poster-109.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
AFTER WE COLLIDED,14.0,93.0,"Romance, Drama",2020-10-23,data/img/poster-110.jpg,Romance, Drama,NaN,NaN,NaN,NaN
THE CRAFT: LEGACY,48.0,30.0,"Fantasy, Mystery And Thriller",2020-10-28,data/img/poster-111.jpg,Fantasy, Mystery And Thriller,NaN,NaN,NaN,NaN
SPELL,47.0,59.0,"Horror, Mystery And Thriller",2020-10-30,data/img/poster-112.jpg,Horror, Mystery And Thriller,NaN,NaN,NaN,NaN
OVER THE MOON,80.0,75.0,"Fantasy, Adventure, Kids And Family, Comedy, Musical, Animation",2020-10-23,data/img/poster-113.jpg,Fantasy, Adventure, Kids And Family, Comedy, Musical, Animation
WHITE NOISE,86.0,79.0,Documentary,2020-10-21,data/img/poster-114.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE SECRETS WE KEEP,63.0,38.0,Mystery And Thriller,2020-09-16,data/img/poster-115.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
THE OPENING ACT,82.0,87.0,Comedy,2020-10-16,data/img/poster-117.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
FRIENDSGIVING,20.0,31.0,"Comedy, Other",2020-10-23,data/img/poster-118.jpg,Comedy, Other,NaN,NaN,NaN,NaN
TAR,25.0,86.0,"Mystery And Thriller, Horror",2020-10-02,data/img/poster-119.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
"HARRY CHAPIN: WHEN IN DOUBT, DO SOMETHING",100.0,100.0,"Music, Documentary",2020-10-16,data/img/poster-120.jpg,Music, Documentary,NaN,NaN,NaN,NaN
DON'T LOOK BACK,58.0,0.0,"Mystery And Thriller, Horror",2020-10-16,data/img/poster-121.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
CHOP CHOP,17.0,0.0,"Mystery And Thriller, Horror",2020-10-20,data/img/poster-122.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
TREMORS: SHRIEKER ISLAND,38.0,36.0,"Adventure, Horror",2020-10-20,data/img/poster-123.jpg,Adventure, Horror,NaN,NaN,NaN,NaN
GREATLAND,40.0,93.0,"Adventure, Fantasy, Sci Fi",2020-11-01,data/img/poster-125.jpg,Adventure, Fantasy, Sci Fi,NaN,NaN,NaN
LOVE IN DANGEROUS TIMES,80.0,0.0,"Comedy, Romance",2020-11-03,data/img/poster-126.jpg,Comedy, Romance,NaN,NaN,NaN,NaN
ETERNAL BEAUTY,78.0,77.0,"Romance, Comedy, Drama",2020-10-02,data/img/poster-127.jpg,Romance, Comedy, Drama,NaN,NaN,NaN
MS. WHITE LIGHT,57.0,80.0,Comedy,2020-10-06,data/img/poster-128.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
SIBYL,56.0,29.0,"Comedy, Drama",2020-09-11,data/img/poster-129.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
HALLOWEEN PARTY,60.0,0.0,"Mystery And Thriller, Horror",2020-10-02,data/img/poster-130.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
THE GLORIAS,68.0,67.0,"Biography, Drama",2020-09-30,data/img/poster-131.jpg,Biography, Drama,NaN,NaN,NaN,NaN
AGGIE,75.0,0.0,Documentary,2020-10-07,data/img/poster-132.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
SCARE ME,83.0,70.0,Horror,2020-10-01,data/img/poster-133.jpg,Horror,NaN,NaN,NaN,NaN,NaN
SAVE YOURSELVES!,88.0,60.0,"Comedy, Sci Fi",2020-10-02,data/img/poster-134.jpg,Comedy, Sci Fi,NaN,NaN,NaN,NaN
A CALL TO SPY,73.0,85.0,"History, Drama",2020-10-02,data/img/poster-135.jpg,History, Drama,NaN,NaN,NaN,NaN
TAPEWORM,75.0,0.0,"Comedy, Drama",2020-10-13,data/img/poster-136.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
12 HOUR SHIFT,76.0,46.0,"Comedy, Mystery And Thriller, Horror",2020-10-02,data/img/poster-137.jpg,Comedy, Mystery And Thriller, Horror,NaN,NaN,NaN
BROIL,40.0,0.0,"Mystery And Thriller, Horror",2020-10-13,data/img/poster-138.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
THE RINGMASTER,95.0,95.0,Documentary,2020-10-06,data/img/poster-139.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
JIMMY CARTER: ROCK & ROLL PRESIDENT,95.0,92.0,"Music, Documentary",2020-09-09,data/img/poster-140.jpg,Music, Documentary,NaN,NaN,NaN,NaN
FROM THE VINE,81.0,77.0,"Comedy, Drama",2020-10-09,data/img/poster-141.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
DEATH OF ME,32.0,36.0,"Mystery And Thriller, Horror",2020-10-02,data/img/poster-142.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
THE CURSE OF AUDREY EARNSHAW,76.0,0.0,"Mystery And Thriller, Horror",2020-10-02,data/img/poster-143.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
SPONTANEOUS,98.0,69.0,"Comedy, Horror",2020-10-02,data/img/poster-144.jpg,Comedy, Horror,NaN,NaN,NaN,NaN
HOSTS,83.0,53.0,Horror,2020-10-02,data/img/poster-145.jpg,Horror,NaN,NaN,NaN,NaN,NaN
THE DOORMAN,14.0,25.0,"Mystery And Thriller, Action",2020-10-08,data/img/poster-146.jpg,Mystery And Thriller, Action,NaN,NaN,NaN,NaN
THEN CAME YOU,50.0,61.0,Romance,2020-09-30,data/img/poster-147.jpg,Romance,NaN,NaN,NaN,NaN,NaN
TOTALLY UNDER CONTROL,99.0,86.0,Documentary,2020-10-13,data/img/poster-148.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
2067,31.0,45.0,"Mystery And Thriller, Sci Fi",2020-10-02,data/img/poster-149.jpg,Mystery And Thriller, Sci Fi,NaN,NaN,NaN,NaN
THE DEVIL TO PAY,100.0,69.0,Mystery And Thriller,2020-10-02,data/img/poster-150.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
THE PHENOMENON,88.0,93.0,Documentary,2020-10-06,data/img/poster-151.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
THE WOLF OF SNOW HOLLOW,89.0,69.0,"Mystery And Thriller, Horror",2020-10-09,data/img/poster-152.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
LET'S SCARE JULIE,40.0,56.0,"Mystery And Thriller, Horror",2020-10-02,data/img/poster-154.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
HERB ALPERT IS...,82.0,0.0,Documentary,2020-10-02,data/img/poster-155.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
ROM BOYS: 40 YEARS OF RAD,100.0,100.0,Documentary,2020-10-13,data/img/poster-156.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
BATMAN: DEATH IN THE FAMILY,71.0,54.0,"Action, Animation, Drama",2020-10-13,data/img/poster-157.jpg,Action, Animation, Drama,NaN,NaN,NaN
BUDDIES,100.0,42.0,Drama,1985-09-12,data/img/poster-158.jpg,Drama,NaN,NaN,NaN,NaN,NaN
LOST GIRLS & LOVE HOTELS,48.0,42.0,"Romance, Drama",2020-09-18,data/img/poster-159.jpg,Romance, Drama,NaN,NaN,NaN,NaN
BUOYANCY,97.0,97.0,Drama,2020-09-11,data/img/poster-160.jpg,Drama,NaN,NaN,NaN,NaN,NaN
BLACKBIRD,60.0,0.0,Drama,2020-09-18,data/img/poster-162.jpg,Drama,NaN,NaN,NaN,NaN,NaN
H IS FOR HAPPINESS,76.0,0.0,"Comedy, Drama",2020-09-18,data/img/poster-163.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
HOUSE OF CARDIN,92.0,0.0,Documentary,2020-08-28,data/img/poster-164.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
LUZ: THE FLOWER OF EVIL,100.0,71.0,"Fantasy, Horror, Western",2020-09-15,data/img/poster-165.jpg,Fantasy, Horror, Western,NaN,NaN,NaN
THE SWERVE,98.0,72.0,Drama,2020-09-22,data/img/poster-166.jpg,Drama,NaN,NaN,NaN,NaN,NaN
ALIVE,78.0,0.0,"Mystery And Thriller, Horror",2020-09-18,data/img/poster-167.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
ANTEBELLUM,28.0,53.0,Mystery And Thriller,2020-09-18,data/img/poster-168.jpg,Mystery And Thriller,NaN,NaN,NaN,NaN,NaN
TOSS IT,71.0,0.0,"Comedy, Romance, Drama",2019-09-19,data/img/poster-169.jpg,Comedy, Romance, Drama,NaN,NaN,NaN
SHE'S IN PORTLAND,67.0,69.0,"Comedy, Drama",2020-09-25,data/img/poster-170.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
THE RACER,83.0,0.0,Drama,2020-09-18,data/img/poster-171.jpg,Drama,NaN,NaN,NaN,NaN,NaN
ALL ROADS TO PEARLA,60.0,0.0,"Mystery And Thriller, Crime, Drama",2020-09-25,data/img/poster-172.jpg,Mystery And Thriller, Crime, Drama,NaN,NaN,NaN
THE ARTIST'S WIFE,68.0,78.0,Drama,2020-09-25,data/img/poster-173.jpg,Drama,NaN,NaN,NaN,NaN,NaN
TEENAGE BADASS,67.0,100.0,Comedy,2020-09-18,data/img/poster-174.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
MISBEHAVIOUR,86.0,53.0,"Comedy, Drama",2020-09-25,data/img/poster-175.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
RED SHOES AND THE SEVEN DWARFS,40.0,81.0,"Animation, Action",2020-09-14,data/img/poster-176.jpg,Animation, Action,NaN,NaN,NaN,NaN
OTTOLENGHI AND THE CAKES OF VERSAILLES,71.0,0.0,Documentary,2020-09-25,data/img/poster-177.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
I'VE GOT ISSUES,67.0,0.0,"Comedy, Drama",2020-09-15,data/img/poster-178.jpg,Comedy, Drama,NaN,NaN,NaN,NaN
DTF,67.0,0.0,Documentary,2020-09-15,data/img/poster-179.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
NO ESCAPE,20.0,47.0,"Mystery And Thriller, Horror",2020-09-18,data/img/poster-180.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
ALL IN: THE FIGHT FOR DEMOCRACY,100.0,72.0,Documentary,2020-09-09,data/img/poster-181.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
CATS & DOGS 3: PAWS UNITE!,11.0,26.0,"Comedy, Kids And Family, Adventure",2020-07-30,data/img/poster-182.jpg,Comedy, Kids And Family, Adventure,NaN,NaN,NaN
SNO BABIES,25.0,99.0,Drama,2020-09-29,data/img/poster-183.jpg,Drama,NaN,NaN,NaN,NaN,NaN
MURDER IN THE WOODS,82.0,65.0,"Mystery And Thriller, Horror",2020-08-14,data/img/poster-184.jpg,Mystery And Thriller, Horror,NaN,NaN,NaN,NaN
STUNTWOMEN: THE UNTOLD HOLLYWOOD STORY,100.0,0.0,"Action, Documentary",2020-09-20,data/img/poster-185.jpg,Action, Documentary,NaN,NaN,NaN,NaN
RESISTERHOOD,100.0,100.0,Documentary,2020-09-22,data/img/poster-186.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
LX 2048,47.0,70.0,Sci Fi,2020-09-25,data/img/poster-187.jpg,Sci Fi,NaN,NaN,NaN,NaN,NaN
SUMMERLAND,88.0,82.0,Comedy,2020-09-14,data/img/poster-188.jpg,Comedy,NaN,NaN,NaN,NaN,NaN
MULAN,73.0,49.0,"Adventure, Action",2020-09-04,data/img/poster-189.jpg,Adventure, Action,NaN,NaN,NaN,NaN
BILL & TED FACE THE MUSIC,82.0,70.0,"Comedy, Fantasy, Adventure",2020-08-28,data/img/poster-190.jpg,Comedy, Fantasy, Adventure,NaN,NaN,NaN
I HATE NEW YORK,100.0,0.0,Documentary,2020-09-01,data/img/poster-191.jpg,Documentary,NaN,NaN,NaN,NaN,NaN
